twitter source account,Tweets ago,Date,Compound,Negative,Positive,Neutral,tweet_text
@nytimes,69,Thu May 21 22:20:04 +0000 2020,0.34,0.0,0.103,0.897,New security and health policies are coming to U.S. airports this summer — passengers will be asked to scan their o… https://t.co/yzXgwYsqQV
@nytimes,68,Thu May 21 22:27:36 +0000 2020,-0.2732,0.095,0.0,0.905,"Breaking News: The University of California system will drop the requirement for SAT and ACT scores, a move with ma… https://t.co/D8X9C9vlrY"
@nytimes,67,Thu May 21 22:39:12 +0000 2020,0.25,0.0,0.167,0.833,A growing number of colleges and universities are waiving standardized test requirements amid the coronavirus pande… https://t.co/OL9eFed371
@nytimes,66,Thu May 21 22:40:05 +0000 2020,0.7184,0.0,0.318,0.682,"Briefly this spring, New York theaters featured a stunning array of plays and adventurous experimentation by writer… https://t.co/H30cBKiEXd"
@nytimes,65,Thu May 21 22:45:09 +0000 2020,-0.6808,0.187,0.0,0.813,"In a new campaign ad, Claire Russo, a Democrat running for Congress in Virginia, speaks openly about being raped at… https://t.co/OLUvpCRFTy"
@nytimes,64,Thu May 21 22:50:03 +0000 2020,0.0,0.0,0.0,1.0,"Despite the addition of 90,000 subscribers since March, The Atlantic said it would lay off 68 employees. 

It is th… https://t.co/lMBVU0tnbT"
@nytimes,63,Thu May 21 23:00:09 +0000 2020,0.4404,0.0,0.132,0.868,"What does Pete Buttigieg see as his political role now? ""Essentially, it’s to make myself useful,"" he told @llerer. https://t.co/K2Au1KLpsW"
@nytimes,62,Thu May 21 23:10:06 +0000 2020,-0.5859,0.233,0.09,0.677,"RT @ewong: NEW: Democratic &amp; Republican lawmakers condemn China’s proposed national security law on Hong Kong, aimed at destroying HK's fre…"
@nytimes,61,Thu May 21 23:20:08 +0000 2020,0.5267,0.094,0.212,0.694,"""To love a New York City bar means forever steeling yourself to lose it. It means always being prepared to say good… https://t.co/174KTanMqK"
@nytimes,60,Thu May 21 23:30:05 +0000 2020,0.0,0.0,0.0,1.0,"RT @marcatracy: Our read on layoffs at The Atlantic, and what it means that this even happened at a news media outlet that would seem to ha…"
@nytimes,59,Thu May 21 23:40:02 +0000 2020,-0.8402,0.276,0.0,0.724,"The man who filmed the fatal account between 2 of his neighbors and Ahmaud Arbery, who was killed in Georgia in Feb… https://t.co/XmiYPNLzto"
@nytimes,58,Thu May 21 23:50:05 +0000 2020,0.0,0.0,0.0,1.0,"Starting in January, Facebook’s employee compensation will be adjusted based on the cost of living in the locations… https://t.co/iqPNWEoVMs"
@nytimes,57,Fri May 22 00:00:05 +0000 2020,0.0,0.0,0.0,1.0,"China has announced its most sweeping effort yet to erode the “one country, two systems"" principle that's governed… https://t.co/u6nb0ooB7w"
@nytimes,56,Fri May 22 00:05:05 +0000 2020,-0.3818,0.231,0.134,0.634,The U.S. Supreme Court on Thursday turned down a request from Idaho prison officials to block court-ordered sex rea… https://t.co/BwIvpbJA84
@nytimes,55,Fri May 22 00:20:02 +0000 2020,0.0,0.0,0.0,1.0,One of @PriyaParker's tips for dating in quarantine: Do a virtual show and tell of your home — or give them a tour… https://t.co/oTlX5oO2Fi
@nytimes,54,Fri May 22 00:40:03 +0000 2020,-0.128,0.13,0.108,0.762,"After 2 months of staying at home, @JessGrose found herself engaging in painful comparisons with other moms online.… https://t.co/SrLR4yw0wH"
@nytimes,53,Fri May 22 00:50:02 +0000 2020,0.4767,0.0,0.205,0.795,"Canned beans are transformed into a hearty, elegant main with this recipe https://t.co/y2WqOJFG2P"
@nytimes,52,Fri May 22 01:00:09 +0000 2020,0.3182,0.0,0.119,0.881,Secretary of State Mike Pompeo has held meetings with prominent Republican donors while on taxpayer-funded trips. T… https://t.co/3EHtJiB0KB
@nytimes,51,Fri May 22 01:20:05 +0000 2020,-0.3182,0.126,0.0,0.874,"""We should be skeptical of emerging technology,"" writes Shira Ovide in the latest ""On Tech"" newsletter.
https://t.co/li91MyTblF"
@nytimes,50,Fri May 22 01:40:08 +0000 2020,-0.1027,0.139,0.12,0.741,"China abandoned its growth target for this year, in an acknowledgement that the coronavirus outbreak is disrupting… https://t.co/bvMjWrEeTi"
@nytimes,49,Fri May 22 02:00:04 +0000 2020,0.7935,0.0,0.243,0.757,"RT @tminsberg: 11-year-old Gui Khury landed a 1080. Twice. 

One of the best parts? Getting a text from @tonyhawk. 

Not bad for an afterno…"
@nytimes,48,Fri May 22 02:10:04 +0000 2020,0.5267,0.0,0.206,0.794,RT @austinramzy: Bipartisan support is quickly growing in Congress for sanctions on Chinese officials and entities after Beijing announced…
@nytimes,47,Fri May 22 02:18:52 +0000 2020,-0.4404,0.148,0.066,0.786,Defense lawyers in California are reviewing criminal cases in which Tara Reade served as an expert witness on domes… https://t.co/QylPahU1i3
@nytimes,46,Fri May 22 02:20:07 +0000 2020,0.0258,0.075,0.08,0.845,China’s plans to impose sweeping new security powers over Hong Kong has U.S. senators calling for sanctions. But Pr… https://t.co/btHkAA0Zvo
@nytimes,45,Fri May 22 03:00:11 +0000 2020,-0.5267,0.152,0.0,0.848,"A day after threatening to withhold federal funding from Michigan, President Trump toured a Ford plant in the state… https://t.co/6Dbc13s15e"
@nytimes,44,Fri May 22 03:40:02 +0000 2020,-0.8176,0.263,0.0,0.737,"RT @llerer: NEW: Lawyers in California are reviewing criminal cases in which Tara Reade served as an expert witness on domestic violence, c…"
@nytimes,43,Fri May 22 03:55:03 +0000 2020,-0.5574,0.223,0.0,0.777,"RT @HernandezJavier: New coronavirus outbreaks are raising alarm in China, prompting officials to impose Wuhan-style lockdowns. ""The govern…"
@nytimes,42,Fri May 22 04:00:04 +0000 2020,0.4767,0.0,0.177,0.823,A string of victories by Turkish-backed forces in Libya have rolled back the gains of a would-be strongman whose al… https://t.co/owlNva6yjh
@nytimes,41,Fri May 22 04:10:04 +0000 2020,-0.9493,0.511,0.0,0.489,A 32-year-old Long Island man was arrested and charged with murder on Thursday after the man fatally stabbed his fa… https://t.co/VXupb8X0Do
@nytimes,40,Fri May 22 04:24:08 +0000 2020,0.0,0.0,0.0,1.0,"—President Trump, visiting a hard-hit U.S. state, declined to wear a mask in public
—The pandemic hovers over China… https://t.co/wzuvwrNK4V"
@nytimes,39,Fri May 22 04:24:34 +0000 2020,0.0,0.0,0.0,1.0,Read updates in Chinese: 新冠病毒疫情最新消息 https://t.co/TLsWMGjCYE
@nytimes,38,Fri May 22 04:50:04 +0000 2020,0.34,0.0,0.098,0.902,"RT @stevenleemyers: ""Even as China acknowledged the cost of the pandemic, the government is determined to show it will not be politically c…"
@nytimes,37,Fri May 22 05:00:06 +0000 2020,0.0,0.0,0.0,1.0,Hong Kong stocks fell by more than 4% in early Friday trading after Chinese leaders announced their plans to tighte… https://t.co/o5X7gYFvvm
