twitter source account,Tweets ago,Date,Compound,Negative,Positive,Neutral,tweet_text
@BBC,70,Sun May 17 13:01:00 +0000 2020,0.75,0.0,0.299,0.701,"Every #Eurovision winner of the past 25 years! Which is your favourite..? 🤔✨

#Eurovision2020 

https://t.co/u2eeQL8UCx"
@BBC,69,Sun May 17 18:59:07 +0000 2020,0.5983,0.0,0.189,0.811,If you want to keep the #Eurovision fun going - you need to watch The A-Z of Eurovision with @rylan on @bbciplayer!… https://t.co/Jk5u0826M5
@BBC,68,Mon May 18 07:01:10 +0000 2020,0.9349,0.036,0.488,0.476,"RT @bbcarts: Thank you for coming to #WoWxBBC and for your enthusiasm. We hope you leave the virtual festival inquisitive, inspired and gal…"
@BBC,67,Mon May 18 07:53:59 +0000 2020,0.4215,0.0,0.137,0.863,"Want to get fit during lockdown? #CouchTo5K could be for you.

🏃‍♀️The app will get you running 5K in nine weeks (e… https://t.co/TH3etAf4fy"
@BBC,66,Mon May 18 07:58:28 +0000 2020,0.4588,0.0,0.115,0.885,"RT @bbcbitesize: Tomorrow is the start of #MentalHealthAwarenessWeek 2020 and this year it's all about #Kindness 🧡

Here is your 7 day chal…"
@BBC,65,Mon May 18 08:01:00 +0000 2020,0.8225,0.063,0.307,0.63,"❤️ @mescal_paul: ""Say that you love them, listen and be joyous in their company."" 

If you're Obsessed with… https://t.co/hhXUANbVbr"
@BBC,64,Mon May 18 10:07:39 +0000 2020,0.0,0.0,0.0,1.0,"“You are not alone.”

Radio stations across the UK have joined together for the #MentalHealthMinute - featuring The… https://t.co/QiYPiThw1n"
@BBC,63,Mon May 18 12:00:56 +0000 2020,0.7184,0.0,0.316,0.684,@ITV @Channel4 @bbcthree @skytv @channel5_tv @davechannel @ComedyCentralUK @MTVUK @UKTV Sending virtual hugs 🤗 https://t.co/WaxCsGhWTq
@BBC,62,Mon May 18 12:01:00 +0000 2020,0.4019,0.0,0.137,0.863,#MentalHealth conditions often have invisible symptoms. Can VR help people express what's going on inside their hea… https://t.co/dGFA6mDOSL
@BBC,61,Mon May 18 13:00:01 +0000 2020,0.6597,0.0,0.231,0.769,"Ian Fletcher, BBC Head of Values (@hughbon), with support from the @BBCCO, gives a one-off address from his lockdow… https://t.co/eRhyFpj6va"
@BBC,60,Mon May 18 13:27:29 +0000 2020,0.3164,0.0,0.16,0.84,"Cereal bar massage technician = new dream job! 🥣

#InsideTheFactory

https://t.co/55Gp0EDlvW"
@BBC,59,Mon May 18 14:01:00 +0000 2020,-0.2023,0.101,0.0,0.899,What is toxic productivity? @Dr_Julie_Smith is here to give you the lowdown on this lockdown phenomenon.… https://t.co/OBIbe4btQf
@BBC,58,Mon May 18 17:02:37 +0000 2020,0.4019,0.0,0.114,0.886,"Mental health issues can affect any one of us.

For a range of programmes to help start your conversation go to… https://t.co/KkuxY6eRoU"
@BBC,57,Mon May 18 17:03:27 +0000 2020,0.4019,0.0,0.153,0.847,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz"
@BBC,56,Tue May 19 08:01:00 +0000 2020,0.0516,0.075,0.084,0.841,"""The person that I'm bringing in today lives with anxiety.""

How a teacher surprised his class by opening up about… https://t.co/Sq8N63Sivx"
@BBC,55,Tue May 19 08:27:13 +0000 2020,0.6597,0.0,0.231,0.769,"RT @BBCWomansHour: Kindness and #MentalHealthAwarenessWeek 🎧 ▶ Lucy Thorpe, Head of Policy @mentalhealth on changing society for the better…"
@BBC,54,Tue May 19 08:27:35 +0000 2020,0.0,0.0,0.0,1.0,"RT @bbcbitesize: Morning team ⛅️

📺 Today's subjects for #BBCBitesizeDaily from 9am on BBCiPlayer and Red Button 👉 https://t.co/zZOO8l1o53…"
@BBC,53,Tue May 19 08:28:41 +0000 2020,0.7506,0.0,0.192,0.808,"RT @bbcbitesize: This week is #MentalHealthAwarenessWeek and the theme this year is #kindness👫💛

Now more than ever, being kind to our frie…"
@BBC,52,Tue May 19 11:01:00 +0000 2020,-0.1531,0.078,0.0,0.922,"No primates have gone extinct in the last 100 years... but that could change.

#Primates is streaming now on… https://t.co/pHilRWb7Jn"
@BBC,51,Tue May 19 11:16:29 +0000 2020,-0.296,0.087,0.0,0.913,"RT @bbcpress: #TheNest is the biggest new BBC drama of the year so far, averaging 9m viewers. See what you're missing on @BBCiPlayer: https…"
@BBC,50,Tue May 19 13:08:22 +0000 2020,0.296,0.0,0.104,0.896,RT @bbcpress: This Thursday join the BBC and @UN for the #CreativeDiversity Dialogue to mark #InternationalDiversityDay on @LinkedIn Live w…
@BBC,49,Tue May 19 14:08:41 +0000 2020,0.6738,0.0,0.283,0.717,".@MicahRichards talks about why speaking about your feelings is a strength, not a weakness. 

@OpenUniversity… https://t.co/rdqd4H0tsL"
@BBC,48,Tue May 19 16:01:00 +0000 2020,-0.6597,0.188,0.0,0.812,"""The reason we're here is that we've both come close to killing ourselves"". 

@ChrisGPackham met Joe Harkness to ta… https://t.co/x9M7WHZORr"
@BBC,47,Tue May 19 16:02:38 +0000 2020,0.4019,0.0,0.153,0.847,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz"
@BBC,46,Tue May 19 16:23:53 +0000 2020,0.0,0.0,0.0,1.0,"RT @BBC6Music: Which record always soothes you?

We asked a few of our favourite acts this very question. Listen to Handpicked, The Morning…"
@BBC,45,Tue May 19 17:01:00 +0000 2020,0.3612,0.0,0.135,0.865,"This is what kids in 1986 thought the year 2020 would be like... accurate?  🤔
https://t.co/bFIdDYdqxS"
@BBC,44,Tue May 19 19:01:00 +0000 2020,0.0,0.0,0.0,1.0,"In Part 2 of the #Horizon Coronavirus Specials, @DoctorChrisVT, @FryRsquared and Dr Michael Mosley examine the late… https://t.co/wdBx30pEPb"
@BBC,43,Wed May 20 07:43:00 +0000 2020,0.0,0.0,0.0,1.0,"Which record always soothes you?

@bbc6music asked some of their favourite acts this very question. Listen to Handp… https://t.co/APmZCDe2Zh"
@BBC,42,Wed May 20 08:01:00 +0000 2020,-0.6124,0.238,0.098,0.664,"Why do some people get depressed?

The jam jar analogy is a helpful way of understanding why some people suffer fro… https://t.co/75Q9czfKIA"
@BBC,41,Wed May 20 08:51:42 +0000 2020,0.4019,0.0,0.153,0.847,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz"
@BBC,40,Wed May 20 09:11:49 +0000 2020,0.636,0.0,0.198,0.802,"Congratulations to @captaintommoore, who will soon be #SirCaptainTom!

It's been announced that he is to be knighte… https://t.co/6xdhv4jtUs"
@BBC,39,Wed May 20 10:15:46 +0000 2020,0.6597,0.0,0.252,0.748,"RT @bbcpress: Want to watch and listen to your favourite BBC programmes with your friends and family? @BBCRD have created #BBCTogether, all…"
@BBC,38,Wed May 20 12:01:00 +0000 2020,0.6369,0.058,0.233,0.708,"These scientists are working hard to develop a safe vaccine for COVID-19.

Coronavirus: A #Horizon Special - Part 2… https://t.co/KuHyZAO8lN"
@BBC,37,Wed May 20 13:07:13 +0000 2020,0.8555,0.0,0.385,0.615,"RT @bbcthree: Roses are red, #ThisCountry is great
We liked this joke so much we made eight https://t.co/MAldf6mtRP"
@BBC,36,Wed May 20 14:01:00 +0000 2020,-0.296,0.115,0.0,0.885,"Whether you’ve been together for 8 weeks or 8 years, every relationship's under pressure in lockdown.

Relationship… https://t.co/s0Li4RyHQC"
@BBC,35,Wed May 20 14:01:51 +0000 2020,0.0,0.0,0.0,1.0,More information about the range of programming about mental health across the BBC: https://t.co/9Z8jrQrIck
@BBC,34,Wed May 20 16:01:00 +0000 2020,0.6115,0.0,0.21,0.79,"As our lives get more complicated, simple things become more precious. 💙 

@BelugaLagoon #MentalHealth
https://t.co/GePHVoevCo"
@BBC,33,Wed May 20 18:01:00 +0000 2020,0.0,0.0,0.0,1.0,.@DavidHarewood revisits a psychotic episode which saw him restrained by six police officers and sedated by hospita… https://t.co/BTx6ZDUy95
@BBC,32,Wed May 20 18:53:15 +0000 2020,0.4019,0.0,0.153,0.847,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz"
@BBC,31,Thu May 21 05:57:24 +0000 2020,0.0,0.0,0.0,1.0,"What’s your mental health tip?

🧠 Mental health campaigner @matthaig1 joins @ChrisHawkinsUK this morning to kick of… https://t.co/sxITXwI65a"
@BBC,30,Thu May 21 08:01:00 +0000 2020,0.8977,0.0,0.385,0.615,Love this!  😍 8-year-old @KatyPerry fan Charlotte gets the surprise of her life when her substitute teacher is... A… https://t.co/a3iB06Ubts
@BBC,29,Thu May 21 09:08:20 +0000 2020,0.0,0.0,0.0,1.0,"RT @BBC6Music: As premiered by @ChrisHawkinsuk...

Composer and producer @ErlandCooper explains how he used 6 Music listeners' sounds of ch…"
@BBC,28,Thu May 21 10:41:59 +0000 2020,0.6116,0.078,0.208,0.714,"RT @cbbc: It's #MentalHealthAwarenessWeek2020 and there is no better time to be kind to yourself and others 🥰 #BeKind #BBCOwnIt 
@JoeTasker…"
@BBC,27,Thu May 21 10:42:34 +0000 2020,0.6705,0.0,0.188,0.812,"RT @BBCSport: 💪 Want to get fit and need some structure to help you? 🗓

📲 #Couchto5K is the app for you ➡ https://t.co/z3IGRWqgYv https://t…"
@BBC,26,Thu May 21 11:14:48 +0000 2020,0.6124,0.0,0.217,0.783,RT @bbcpress: The BBC’s Director of Creative Diversity @JuneSarpong has committed to hardwire diversity and inclusion throughout the BBC -…
@BBC,25,Thu May 21 12:01:00 +0000 2020,-0.5106,0.301,0.0,0.699,"Nadiya Hussain explains how severe anxiety affects her life.
 
@BegumNadiya #MentalHealth
https://t.co/BTZnT3dEQY"
@BBC,24,Thu May 21 12:29:01 +0000 2020,-0.1779,0.159,0.0,0.841,Nadiya: Anxiety and Me is streaming now on @BBCiPlayer. https://t.co/cizeDDzBYx
@BBC,23,Thu May 21 12:29:13 +0000 2020,0.4019,0.0,0.153,0.847,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz"
@BBC,22,Thu May 21 14:06:45 +0000 2020,0.2263,0.0,0.095,0.905,"Social media can be helpful and informative during lockdown - but it can also be overwhelming.

@naomishimada
 has… https://t.co/oCS7c3T4lp"
@BBC,21,Thu May 21 14:07:13 +0000 2020,0.0,0.0,0.0,1.0,⁣More information about the range of programming about mental health across the BBC can be found here https://t.co/U3LM36WRcU
@BBC,20,Thu May 21 15:41:52 +0000 2020,0.5307,0.0,0.13,0.87,RT @HackerTDog: YOU ARE ALL INVITED TO PLAY MY QUIZ AT 7.30PM LIVE TONIGHT ON MY YOUTUBE CHANNEL! GO AND SUBSCRIBE TO ME https://t.co/kFDPk…
@BBC,19,Thu May 21 16:01:00 +0000 2020,0.0,0.0,0.0,1.0,"Another #ThisCountry deleted scene from @bbcthree: more of Mandy's stories.  🙌📚
https://t.co/s7D6Sc4Jpt"
@BBC,18,Thu May 21 16:20:13 +0000 2020,0.0,0.0,0.0,1.0,"To mark International Diversity Day, the BBC Director-General Tony Hall and UN Deputy Secretary-General Amina J Moh… https://t.co/qe9YYNQYSC"
@BBC,17,Thu May 21 18:01:00 +0000 2020,0.3818,0.123,0.241,0.636,"Comedian @ItsTonySlattery meets experts to explore his psychological problems, finding out if he is definitely bipo… https://t.co/7614I03Iol"
@BBC,16,Thu May 21 19:01:00 +0000 2020,-0.1531,0.086,0.0,0.914,This scene where Marianne and Connell finally address their class difference and how it's affected their relationsh… https://t.co/SwYPjla1Ji
@BBC,15,Thu May 21 19:02:17 +0000 2020,0.4019,0.0,0.153,0.847,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz"
@BBC,14,Thu May 21 20:30:00 +0000 2020,0.765,0.0,0.268,0.732,".@JasonManford gives us his words of wisdom on mental health during lockdown, and the power of laughter ❤️ https://t.co/Imno3mD6kx"
@BBC,13,Fri May 22 00:01:00 +0000 2020,0.3384,0.082,0.149,0.769,"Three very powerful and personal stories about #MentalHealth - all streaming now on @bbciplayer.

Nadiya: Anxiety a… https://t.co/l5Fdpb6PuJ"
@BBC,12,Fri May 22 08:01:00 +0000 2020,0.34,0.106,0.203,0.691,"‘I’d describe it like the reactions inside the sun.’

This is what it's like to live with severe anxiety.… https://t.co/aXLOTxZxgg"
@BBC,11,Fri May 22 08:11:47 +0000 2020,0.4019,0.0,0.153,0.847,"For details of organisations which offer advice and support with mental health, go online to https://t.co/LYeKPCdUPk"
@BBC,10,Fri May 22 08:45:56 +0000 2020,0.4019,0.0,0.153,0.847,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz"
@BBC,9,Fri May 22 09:11:53 +0000 2020,0.0,0.0,0.0,1.0,Find out more about the BBC's focus on mental health this May: https://t.co/9Z8jrQrIck
@BBC,8,Fri May 22 09:17:44 +0000 2020,0.0,0.0,0.0,1.0,More information about the range of programming about mental health across the BBC can be found here https://t.co/U3LM36WRcU
@BBC,7,Fri May 22 09:26:23 +0000 2020,0.4019,0.0,0.153,0.847,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz"
@BBC,6,Fri May 22 11:01:00 +0000 2020,0.2732,0.0,0.1,0.9,"With fashion weeks going digital because of Covid-19, 3D artists are being hired to create virtual clothes, and eve… https://t.co/qIXRy0tUI7"
@BBC,5,Fri May 22 12:25:44 +0000 2020,0.3612,0.0,0.111,0.889,"RT @bbcpress: New comedy series #Staged, starring #DavidTennant and @MichaelSheen, is coming to @BBCOne in June. Here's a little taster of…"
@BBC,4,Fri May 22 12:51:33 +0000 2020,0.5473,0.0,0.15,0.85,"RT @HackerTDog: GET THE #FridayFeeling BY WATCHING ME MAKE LOADS OF CELEBRITIES LOL OUT LOUD. WATCH MY NEW FILM HERE:
https://t.co/Bq7cRYke…"
@BBC,3,Fri May 22 13:28:25 +0000 2020,-0.2263,0.079,0.0,0.921,"RT @bbcworldservice: Dressing up for Eid needn’t be stopped by lockdown – here are @theswolearab, Fatima and Hira with their style tips htt…"
@BBC,2,Fri May 22 14:01:00 +0000 2020,-0.3612,0.171,0.0,0.829,"If you're finding lockdown tough because you live alone, Tobi Green Adenowo (@ToughCookieTee) has some tips to make… https://t.co/zJD44nbNov"
@BBC,1,Fri May 22 14:04:03 +0000 2020,0.0,0.0,0.0,1.0,Find out more about the BBC's focus on mental health this May: https://t.co/9Z8jrQrIck
